validation_id,game,solver,seed,iteration,traversals,elapsed_training_seconds,expected_value_player_zero,exploitability,nash_conv
mccfr_reference_convergence,leduc,naive_mccfr,20260812,5000,10000,0.3405077479983447,-0.145578895793105,0.4697090798803859,0.9394181597607718
mccfr_reference_convergence,leduc,naive_mccfr,20260812,10000,20000,0.6807556509957067,-0.11383937853162661,0.30980462058835295,0.6196092411767059
mccfr_reference_convergence,leduc,naive_mccfr,20260812,25000,50000,1.7372612149993074,-0.09303980107109948,0.175210099422696,0.350420198845392
mccfr_reference_convergence,leduc,naive_mccfr,20260812,50000,100000,3.398066421992553,-0.08061300306917679,0.1137889723509118,0.2275779447018236
mccfr_reference_convergence,leduc,naive_mccfr,20260812,100000,200000,6.711254294990795,-0.08641312978608895,0.07057075443584254,0.14114150887168508
mccfr_reference_convergence,leduc,naive_mccfr,20260812,250000,500000,16.59029469099187,-0.08735106380667512,0.04362872169338797,0.08725744338677593
mccfr_reference_convergence,leduc,naive_mccfr,20260812,500000,1000000,33.04494924999017,-0.08922439725776926,0.026759202650502092,0.053518405301004185
mccfr_reference_convergence,leduc,naive_mccfr,20260813,1000,2000,0.06964359099947615,-0.24879822920299305,1.4501507133434823,2.9003014266869647
mccfr_reference_convergence,leduc,naive_mccfr,20260813,5000,10000,0.3539993869999307,-0.13568193257507202,0.5058583695066947,1.0117167390133894
mccfr_reference_convergence,leduc,naive_mccfr,20260813,10000,20000,0.6882377439978882,-0.13450263128100945,0.3068863036940306,0.6137726073880612
mccfr_reference_convergence,leduc,naive_mccfr,20260813,25000,50000,1.6598370889987564,-0.10824642345837564,0.17287634710861222,0.34575269421722443
mccfr_reference_convergence,leduc,naive_mccfr,20260813,50000,100000,3.263126040001225,-0.09361884718573082,0.10535851125064402,0.21071702250128804
mccfr_reference_convergence,leduc,naive_mccfr,20260813,100000,200000,6.601247637998313,-0.09423493698119292,0.08256206828999543,0.16512413657999087
mccfr_reference_convergence,leduc,naive_mccfr,20260813,250000,500000,16.383078973994998,-0.09131595247171792,0.0425980970526421,0.0851961941052842
mccfr_reference_convergence,leduc,naive_mccfr,20260813,500000,1000000,33.06553284799156,-0.09016686243405855,0.029172459290277092,0.058344918580554184
mccfr_reference_convergence,leduc,naive_mccfr,20260814,1000,2000,0.06572125400271034,-0.1034798992264061,1.1849960877950174,2.369992175590035
mccfr_reference_convergence,leduc,naive_mccfr,20260814,5000,10000,0.34891656700347085,-0.10455226484983102,0.4666325450217078,0.9332650900434156
mccfr_reference_convergence,leduc,naive_mccfr,20260814,10000,20000,0.7052255740054534,-0.10472382883533879,0.3022495716941014,0.6044991433882028
mccfr_reference_convergence,leduc,naive_mccfr,20260814,25000,50000,1.716208400001051,-0.09290219986258107,0.1630822732361797,0.3261645464723594
mccfr_reference_convergence,leduc,naive_mccfr,20260814,50000,100000,3.401180098997429,-0.08679473358830964,0.10088346828582065,0.2017669365716413
mccfr_reference_convergence,leduc,naive_mccfr,20260814,100000,200000,6.683638228998461,-0.08856105644802538,0.07122351975265279,0.14244703950530557
mccfr_reference_convergence,leduc,naive_mccfr,20260814,250000,500000,16.529238764000183,-0.08976238590489603,0.04139420420664468,0.08278840841328935
mccfr_reference_convergence,leduc,naive_mccfr,20260814,500000,1000000,32.80748878599843,-0.08771485926569048,0.03651103400541847,0.07302206801083694
