game,game_version,solver,run_id,strategy_snapshot_id,iteration,seed,elapsed_training_seconds,iteration_seconds,traversal_seconds,advantage_training_seconds,strategy_training_seconds,player_zero_advantage_training_loss,player_zero_advantage_validation_loss,player_one_advantage_training_loss,player_one_advantage_validation_loss,strategy_training_loss,strategy_validation_loss,player_zero_advantage_samples_retained,player_zero_advantage_samples_seen,player_one_advantage_samples_retained,player_one_advantage_samples_seen,strategy_samples_retained,strategy_samples_seen,process_rss_bytes,cuda_peak_allocated_bytes,cuda_peak_reserved_bytes,free_disk_bytes
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,43,20260811,15814.80320511898,339.70627322793007,15.961987840244547,300.62696515209973,0.0,1.4836610555648804,8.620022773742676,5.145261764526367,5.439016819000244,,,2745823,2745823,5939639,5939639,10000000,12172867,9446027264,303094784,522190848,174820058305
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,44,20260811,16127.82369021792,336.403649126878,14.972871216014028,298.04758001095615,0.0,1.4672932624816895,8.254768371582031,4.964358806610107,5.39784574508667,,,2803163,2803163,6060978,6060978,10000000,12431994,9584128000,303094784,522190848,174744118941
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,45,20260811,16442.891088890843,338.9765387410298,15.656332182930782,299.41103219706565,0.0,1.397804856300354,8.001140594482422,4.853641986846924,5.194238185882568,,,2860526,2860526,6204440,6204440,10000000,12714041,9607409664,303094784,522190848,174658767837
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,46,20260811,16758.804876199923,339.4147401750088,16.113673583138734,299.80007886886597,0.0,1.3669922351837158,7.867766380310059,4.6859588623046875,5.0853590965271,,,2919159,2919159,6353813,6353813,10000000,13003895,9770889216,303094784,522190848,174570364858
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,47,20260811,17076.80772797996,342.58976137801073,15.981523810885847,302.02128954580985,0.0,1.3531098365783691,7.69589376449585,4.6364240646362305,4.92088508605957,,,2980783,2980783,6494021,6494021,10000000,13286386,9847365632,303094784,522190848,174484585656
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,48,20260811,17394.266825470142,342.27045789686963,15.982968133874238,301.4760884779971,0.0,1.3539327383041382,7.54154109954834,4.538166046142578,4.829089641571045,,,3038014,3038014,6630578,6630578,10000000,13562154,9859493888,303094784,522190848,174402225207
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,49,20260811,17712.39135515201,342.08282407792285,15.28731345385313,302.8371735068504,0.0,1.3260746002197266,7.5196661949157715,4.407160758972168,4.7715067863464355,,,3094259,3094259,6758420,6758420,10000000,13828948,9941762048,303094784,522190848,174323987669
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_50,50,20260811,18126.423054127954,438.92124973097816,15.466134705813602,301.6225220821798,96.94298660405912,1.293779730796814,7.248298168182373,4.369946479797363,4.675362586975098,0.14474736154079437,0.1600547730922699,3151943,3151943,6891700,6891700,10000000,14099695,10073448448,303094784,522190848,174229368884
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,51,20260811,18442.761826375965,341.1450189789757,15.56142196431756,300.7772751110606,0.0,1.2712948322296143,7.07959508895874,4.334974765777588,4.533561706542969,,,3209385,3209385,7028891,7028891,10000000,14376132,10063867904,296370688,515899392,174153375750
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,52,20260811,18759.86318654497,342.14397617802024,15.175204063067213,301.92609503190033,0.0,1.2227222919464111,6.764954566955566,4.318683624267578,4.5290093421936035,,,3261950,3261950,7165594,7165594,10000000,14650260,10270306304,303094784,522190848,174072936204
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,53,20260811,19094.915425389074,360.9482129148673,16.70956127718091,318.342616652837,0.0,1.2007336616516113,6.983080863952637,4.186169624328613,4.441446304321289,,,3319610,3319610,7307427,7307427,10000000,14936441,10229686272,303094784,522190848,173988151111
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,54,20260811,19422.126987244934,353.22103912802413,16.886866113869473,310.32465266180225,0.0,1.1755136251449585,6.6030731201171875,4.052760601043701,4.315996170043945,,,3378150,3378150,7462867,7462867,10000000,15233898,10384642048,303094784,522190848,173897209158
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,55,20260811,19752.530816742918,357.23956456803717,16.46554023702629,313.9382516811602,0.0,1.165986180305481,6.512619495391846,3.9045569896698,4.213451862335205,,,3433517,3433517,7607453,7607453,10000000,15517397,10533101568,303094784,522190848,173812228511
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,56,20260811,20086.40163324587,360.85380080598406,16.28095617191866,317.5898236401845,0.0,1.1219840049743652,6.469348430633545,3.947377920150757,4.175191879272461,,,3493646,3493646,7755714,7755714,10000000,15806115,10491895808,303094784,522190848,173723662304
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,57,20260811,20422.87902390398,363.5448223911226,15.319063063943759,321.1582876490429,0.0,1.1056902408599854,6.212379455566406,3.8094279766082764,4.048689365386963,,,3550780,3550780,7873765,7873765,10000000,16066755,10626736128,303094784,522190848,173649208030
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,58,20260811,20752.248391299974,357.263541766908,16.449429595842957,312.9198945071548,0.0,1.0924681425094604,6.183801174163818,3.7786428928375244,4.087944507598877,,,3608296,3608296,8022460,8022460,10000000,16362689,10714959872,303094784,522190848,173561567738
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,59,20260811,21081.804034831002,356.80906186788343,16.135617519030347,313.4199861767702,0.0,1.0725276470184326,5.955392837524414,3.741518974304199,4.0329437255859375,,,3665503,3665503,8172437,8172437,10000000,16650324,10739421184,303094784,522190848,173473514103
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_60,60,20260811,21513.11064493982,459.62965421006083,15.65882696188055,316.85426078899764,98.79346605110914,1.0818474292755127,5.909231662750244,3.579322576522827,3.8506929874420166,0.18306834995746613,0.19095076620578766,3724045,3724045,8307768,8307768,10000000,16926932,10989285376,303094784,522190848,173377658986
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,61,20260811,21839.829772137804,353.55826256307773,15.620859533082694,311.0981979337521,0.0,1.0540995597839355,5.744071960449219,3.6484310626983643,3.8553202152252197,,,3778589,3778589,8451926,8451926,10000000,17209715,10982662144,296370688,515899392,163886007435
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,62,20260811,22170.571363912895,360.3128389448393,15.465722220949829,315.27573091280647,0.0,1.0433413982391357,5.857429504394531,3.671689748764038,3.8499112129211426,,,3835277,3835277,8592268,8592268,10000000,17492646,11114946560,303094784,522190848,163802269381
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,63,20260811,22500.586227707798,358.3519344490487,15.761154263047501,314.2536643790081,0.0,1.0127935409545898,5.617754936218262,3.5498857498168945,3.7765655517578125,,,3891050,3891050,8727653,8727653,10000000,17770496,11115814912,303094784,522190848,163721026560
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,64,20260811,22830.760444703745,359.35583983990364,16.656750075053424,313.5174272041768,0.0,1.0045167207717896,5.520665645599365,3.419569492340088,3.660804510116577,,,3951612,3951612,8881350,8881350,10000000,18075640,11221164032,303094784,522190848,163629965914
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,65,20260811,23162.953796304762,360.9183050508145,16.163629289716482,316.0296850800514,0.0,1.001558542251587,5.463418483734131,3.357665538787842,3.5695412158966064,,,4006727,4006727,9029738,9029738,10000000,18363377,11304906752,303094784,522190848,163543476566
